# ct=2 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.95 1.95 0.009999909825506709 1.208769271032341e-08 0
0.95 2.05 0.01000027766756574 6.417791686865709e-07 0
0.95 2.15 0.009999858365404752 1.24292852805195e-08 0
0.95 2.25 0.01000009719649299 2.817076426260608e-08 0
0.95 2.35 0.01000004445322546 7.605823873458782e-09 0
0.95 2.45 0.009999802884281057 1.196472845082764e-08 0
0.95 2.55 0.009999797061283861 9.519466286045809e-09 0
0.95 2.65 0.009999961023773669 8.814825304790564e-09 0
0.95 2.75 0.01000003437664234 6.754034078986521e-09 0
0.95 2.85 0.01000000907463118 1.028070983922513e-08 0
0.95 2.95 0.009999794864697837 1.412169970466325e-08 0
0.95 3.05 0.009999954106387893 1.843575853057754e-08 0
0.95 3.15 0.009999981890037053 9.574083364082513e-09 0
0.95 3.25 0.01000001220913007 1.388636166493896e-08 0
0.95 3.35 0.009999942963706449 1.564488868860512e-08 0
0.95 3.45 0.009999973497131127 2.181311438182136e-09 0
0.95 3.55 0.01000021010098053 3.378707676146502e-09 0
0.95 3.65 0.009999682217352163 1.233660828542282e-09 0
0.95 3.75 0.01000014068765566 5.760665800931731e-09 0
1.05 0.05 0.01362164991977771 0.002764405778820462 0
1.05 0.15 0.01391295236303257 0.003343424118944441 0
1.05 0.25 0.01342467133752549 0.002833125765405584 0
1.05 0.35 0.0132794643922773 0.002523729801940527 0
1.05 0.45 0.01318023074938518 0.002098188200959256 0
1.05 0.5499999999999999 0.02021748141374248 0.0005686959845911913 1
1.05 0.6499999999999999 0.01083719576041959 5.558150194421731e-05 1
1.05 0.7499999999999999 0.0103028086222035 5.983000333846889e-05 1
1.05 0.85 0.01009530408827123 5.03618316046242e-05 1
1.05 0.95 0.01004216855463067 5.622733503989801e-06 1
1.05 1.05 0.01002212889467612 3.772200781611242e-06 1
1.05 1.15 0.0100153885240607 2.385930435230756e-06 1
1.05 1.25 0.01000893003709236 3.462777651608796e-06 1
1.05 1.35 0.01000241132107561 5.819539446041285e-07 1
1.05 1.45 0.01000239389755876 3.188078108400152e-07 1
1.05 1.55 0.009999976805290207 7.56911153854311e-07 0
1.05 1.65 0.01000025376025405 7.215739688545661e-07 0
1.05 1.75 0.01000039572209545 8.564059318014275e-07 0
1.05 1.85 0.01000071615445521 7.811539234052578e-07 0
1.05 1.95 0.01000051030808947 5.72831529972692e-07 0
1.05 2.05 0.009999798011911882 3.542884706266074e-09 0
1.05 2.15 0.01000000236276989 4.294598796797978e-09 0
1.05 2.25 0.01000004249921873 8.588041435133986e-09 0
