# ct=2.5 Nx=38
# x_cm y_cm T_keV E_over_aTkeV4 aluminum
0.25 1.85 0.0106569489548817 0.0006387192947521752 0
0.25 1.95 0.01046811673575487 0.001071795895487157 0
0.25 2.05 0.01031777511545709 0.0004705433324398333 0
0.25 2.15 0.0102191914318336 0.0003728495429734992 0
0.25 2.25 0.0101234508365029 0.0004324471014035117 0
0.25 2.35 0.01007841661237712 0.0003387378609013618 0
0.25 2.45 0.01005444049270262 0.0001260265409550423 0
0.25 2.55 0.01002966580259877 9.091859115548028e-05 0
0.25 2.65 0.01001114988922736 5.65989309299808e-05 0
0.25 2.75 0.01000257546617846 8.048678892121275e-06 0
0.25 2.85 0.009999983019750264 1.292037623116491e-05 0
0.25 2.95 0.009999987932734062 1.46391278029799e-08 0
0.25 3.05 0.01000028620370642 1.219644932921894e-08 0
0.25 3.15 0.009999845869714936 7.91306006835588e-09 0
0.25 3.25 0.01000026764680285 1.150718888295523e-08 0
0.25 3.35 0.01000017696928936 1.094746280290375e-08 0
0.25 3.45 0.009999744451989163 1.452688775742974e-08 0
0.25 3.55 0.01000029746712329 9.135575692564153e-09 0
0.25 3.65 0.009999860503342579 6.814907948101696e-09 0
0.25 3.75 0.009999671590670407 7.51546954368902e-09 0
0.35 0.05 0.04367565368069636 0.01827274423160348 0
0.35 0.15 0.04181850650944058 0.01748786649859711 0
0.35 0.25 0.03794770983254485 0.01545381116505478 0
0.35 0.35 0.03340303529710402 0.01196833670195846 0
0.35 0.45 0.02903837025640784 0.008342123017666453 0
0.35 0.5499999999999999 0.02595407747506566 0.007640463964927037 0
0.35 0.6499999999999999 0.02270695112620866 0.005590769481861906 0
0.35 0.7499999999999999 0.02025379879099373 0.004601484095516225 0
0.35 0.85 0.01833868600518618 0.004039298130780026 0
0.35 0.95 0.01661650678819732 0.003844633191166151 0
0.35 1.05 0.01546569631700699 0.003193902542058267 0
0.35 1.15 0.01440416315547182 0.002427167154584551 0
0.35 1.25 0.01350639369642854 0.002549065948283695 0
0.35 1.35 0.01283000767788552 0.001553665886766884 0
0.35 1.45 0.01220282050137392 0.001848894745489176 0
0.35 1.55 0.01155314913615415 0.001386950306844861 0
0.35 1.65 0.0112694686502188 0.0006387174844938234 0
0.35 1.75 0.01100140588655975 0.001215674840731992 0
0.35 1.85 0.0106772437075654 0.001118562720745515 0
0.35 1.95 0.0104161654710994 0.0007425169097554365 0
0.35 2.05 0.01030723269726179 0.0004710934091622632 0
0.35 2.15 0.01017508860472955 0.0006056540467495118 0
0.35 2.25 0.01013401864734974 0.0003888050614682507 0
0.35 2.35 0.01007089486270779 0.0003070213580231487 0
0.35 2.45 0.01003361311237026 0.0002066388010238097 0
0.35 2.55 0.01002355771264673 5.79282259244279e-05 0
0.35 2.65 0.01001263414578857 4.56327785999787e-09 0
0.35 2.75 0.01000496203176538 1.120852135782785e-05 0
0.35 2.85 0.01000056924420235 2.475603673373795e-06 0
0.35 2.95 0.01000009121599334 6.178710232147731e-09 0
0.35 3.05 0.00999981452968925 2.245256906509709e-09 0
0.35 3.15 0.01000005540434814 1.262162871344479e-08 0
0.35 3.25 0.01000005120410976 1.230865819529059e-08 0
0.35 3.35 0.009999934277115447 8.810384093142665e-09 0
0.35 3.45 0.01000007752949785 2.035709962734542e-09 0
0.35 3.55 0.009999687613043168 1.40446812276542e-08 0
0.35 3.65 0.009999952691040054 1.653578428217771e-08 0
0.35 3.75 0.0100001872372927 5.600759950976439e-09 0
0.45 0.05 0.03655523420864415 0.01243396889831342 0
0.45 0.15 0.03542252416849581 0.01288261421548623 0
0.45 0.25 0.03256745126312242 0.01177245306018996 0
0.45 0.35 0.02901901782980619 0.008907192009365855 0
0.45 0.45 0.02580345617341249 0.00730688174761777 0
0.45 0.5499999999999999 0.02321953441950498 0.006950806152345525 0
0.45 0.6499999999999999 0.02105225917136995 0.005636493978031558 0
0.45 0.7499999999999999 0.01906712855220366 0.004115689702575142 0
0.45 0.85 0.01775695554081828 0.004754603945742056 0
0.45 0.95 0.01618940992380195 0.003745402481138607 0
0.45 1.05 0.01488225989605775 0.002787370724273073 0
0.45 1.15 0.01412498313725407 0.002988100403201604 0
0.45 1.25 0.01329003765763387 0.002640605527572339 0
0.45 1.35 0.01242501994659932 0.001731294272429696 0
0.45 1.45 0.01192626743755063 0.001368926345068485 0
0.45 1.55 0.01155620365320588 0.001740154510116987 0
0.45 1.65 0.01108944370281454 0.001008277011706172 0
0.45 1.75 0.01085357635773903 0.0009811883760894855 0
0.45 1.85 0.01065639217486227 0.0006096261771520828 0
0.45 1.95 0.01043275580997274 0.0007456076249727716 0
0.45 2.05 0.01028645516021271 0.0006179598112849577 0
0.45 2.15 0.01015532424026274 0.0005201435757146392 0
0.45 2.25 0.01008305317135032 0.0002824205891445321 0
0.45 2.35 0.01003924868101133 0.0002346926268175938 0
0.45 2.45 0.01001833499086457 0.0001478846939660738 0
0.45 2.55 0.01000787449728392 4.218992428548644e-05 0
0.45 2.65 0.01000502848506514 0.0001063063200833262 0
