# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 8(a)
# Crooked-pipe material temperature vs time (Gentile 2001).
# Probes: P1 (r=0,z=0.25), P2 (0,2.75), P3 (1.25,3.5), P4 (0,4.25), P5 (0,6.75) cm
# t_ns, T1_keV, T2_keV, T3_keV, T4_keV, T5_keV
# t_ns,T1_keV,T2_keV,T3_keV,T4_keV,T5_keV
46.954714,0.47067928,0.30566903,0.18951152,0.13496641,0.053706703
48.329302,0.47060558,0.30622073,0.19114431,0.13789835,0.054118977
49.744132,0.47052973,0.30678857,0.19243487,0.1408588,0.054565421
51.20038,0.47045166,0.30737304,0.19376321,0.14255275,0.055028877
52.699259,0.4703713,0.30797463,0.19513043,0.14429628,0.055505901
54.242018,0.47028859,0.30859382,0.19653768,0.14609085,0.05599689
55.829941,0.47020346,0.30923114,0.19798613,0.14793797,0.056523026
57.46435,0.47011584,0.30988711,0.19947698,0.14983915,0.057429863
59.146605,0.47002565,0.31056229,0.20101147,0.15179599,0.058405303
60.878109,0.46993283,0.31125724,0.20259089,0.15381012,0.059460215
62.660302,0.46983728,0.31197253,0.20421654,0.15588321,0.060587118
64.494668,0.46973894,0.31270876,0.20588978,0.15801699,0.061896644
66.382734,0.46963772,0.31346654,0.20761201,0.16021323,0.063659479
68.326074,0.46953353,0.31424651,0.20938465,0.16247377,0.06547392
70.326304,0.46947721,0.31504931,0.21113494,0.16473426,0.067349109
72.385091,0.4694592,0.31587561,0.2128782,0.16697427,0.069397626
74.504148,0.46956554,0.31672611,0.2142231,0.16908605,0.071828991
76.68524,0.46967854,0.3176015,0.21559457,0.17125966,0.074711896
78.930183,0.46979486,0.31850251,0.2170062,0.17349689,0.077498274
81.240846,0.46991457,0.31942844,0.21845915,0.17579962,0.080252182
83.619153,0.47003779,0.32011801,0.21995464,0.17816977,0.082847594
86.067085,0.47016462,0.32079615,0.2214939,0.1806093,0.085518987
88.586679,0.47029516,0.32144928,0.22307823,0.18301128,0.088228781
91.180034,0.47042953,0.32212153,0.22470894,0.18520898,0.090465827
93.849309,0.47056782,0.32281346,0.22638739,0.18693116,0.09262929
96.596726,0.47071017,0.32352564,0.22811497,0.18870375,0.094696677
99.424573,0.47085668,0.32425868,0.22989313,0.19052824,0.096824586
102.3352,0.47100748,0.32501317,0.23172335,0.19240615,0.09892348
105.33104,0.4711627,0.32578975,0.23360714,0.19433902,0.10083618
108.41459,0.47132246,0.32658907,0.23554608,0.19632848,0.10261587
111.5884,0.47148689,0.32741178,0.23731477,0.19837619,0.10435475
114.85512,0.47165614,0.32825858,0.23898399,0.20048383,0.10614453
118.21748,0.47183035,0.32913017,0.24025834,0.20265318,0.1079867
121.67827,0.47200965,0.33002728,0.24157001,0.20449482,0.10988281
125.24038,0.47219421,0.33095065,0.24292007,0.20623302,0.11171668
128.90676,0.47238417,0.33190105,0.24430966,0.20781534,0.11347875
132.68047,0.47257977,0.33287927,0.24573992,0.20944398,0.11500716
136.56467,0.47278132,0.3336687,0.24721206,0.21112029,0.1165803
140.56257,0.47298923,0.33428618,0.24872729,0.21284568,0.11819951
144.6775,0.47320343,0.33481737,0.25028688,0.21462158,0.11986611
148.9129,0.47342391,0.33535761,0.25189213,0.21644947,0.1215815
153.27229,0.47365084,0.33591365,0.25354437,0.21833087,0.12334711
157.75931,0.47388441,0.33648598,0.25524498,0.22026734,0.12486948
162.37767,0.47412482,0.33707506,0.25670989,0.22226051,0.12636904
167.13124,0.47437227,0.33768138,0.25812223,0.22426095,0.12784076
172.02397,0.47462697,0.33830546,0.25943026,0.22628548,0.12935556
177.05994,0.47488911,0.3389478,0.26077659,0.22826296,0.13091471
182.24332,0.47515894,0.33960895,0.26216232,0.23029833,0.13251951
187.57846,0.47543666,0.34028945,0.26358863,0.23239329,0.13417128
193.06977,0.47572251,0.34098988,0.26505669,0.23454958,0.13587141
198.72185,0.47601673,0.34169617,0.26656773,0.23676899,0.13762131
204.53938,0.47631957,0.34239735,0.268123,0.23905337,0.13937449
210.52723,0.47663127,0.34304374,0.2697238,0.24114162,0.14106142
216.69036,0.47695209,0.34370906,0.27137147,0.24309026,0.1427543
223.03393,0.47728231,0.34439385,0.27306737,0.24435622,0.14447731
229.56319,0.47759988,0.34509869,0.27481291,0.24565924,0.14625076
236.2836,0.47783295,0.34582416,0.27660956,0.24700041,0.14807613
243.20075,0.47801738,0.34657087,0.27845881,0.24838083,0.14995494
250.3204,0.47817022,0.34733944,0.28035251,0.24980167,0.15188875
257.64847,0.47832754,0.34813051,0.28150451,0.25126411,0.15387917
265.19107,0.47848946,0.34894474,0.2826888,0.25276935,0.15592786
272.95448,0.47865612,0.34978281,0.2839058,0.25431866,0.15751085
280.94516,0.47882766,0.35064541,0.28515842,0.25591333,0.15887677
289.16977,0.47900422,0.35153326,0.28644771,0.25755468,0.15996403
297.63514,0.47918595,0.3524471,0.28777474,0.25924408,0.16108312
306.34835,0.479373,0.3533877,0.28914062,0.26065727,0.16223497
315.31662,0.47956553,0.35435414,0.29054649,0.26203997,0.16342054
324.54745,0.47976369,0.35534755,0.29199352,0.26336168,0.16464082
334.0485,0.47996765,0.35636773,0.2934829,0.26472207,0.16589682
343.82769,0.48017759,0.35741779,0.29501589,0.26612229,0.1671896
